icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp
aa9321,UAL45   ,United States,1721483013,1721483013,0.7648,59.517,9753.6,False,270.24,303.9,0.0,,10081.26,3045,False,0,2024-07-19 10:00:00
407a3b,GCLNN   ,United Kingdom,1721483211,1721483211,0.079,52.6712,518.16,False,31.73,196.97,-0.33,,518.16,,False,0,2024-07-19 10:00:00
aa931d,UAL47   ,United States,1721483211,1721483211,0.3283,55.2218,10363.2,False,269.55,315.08,0.0,,10706.1,2535,False,0,2024-07-19 10:00:00
50035e,EJO1A   ,San Marino,1721483211,1721483211,1.6353,52.0527,7825.74,False,234.74,67.31,8.45,,8138.16,2022,False,0,2024-07-19 10:00:00
3c4b32,DLH402  ,Germany,1721483211,1721483211,-5.2924,56.7918,10363.2,False,276.57,297.47,0.0,,10591.8,0124,False,0,2024-07-19 10:00:00
3c4b35,DLH498  ,Germany,1721483211,1721483212,-2.9112,56.9843,9144.0,False,277.92,312.07,0.33,,9387.84,2552,False,0,2024-07-19 10:00:00
ab048d,DAL163  ,United States,1721483212,1721483212,-4.4049,57.6299,10668.0,False,272.23,311.55,0.0,,10896.6,1033,False,0,2024-07-19 10:00:00
a6e055,LCO2506 ,United States,1721483212,1721483212,-9.1926,53.9722,10668.0,False,247.89,101.01,-0.33,,10828.02,6252,False,0,2024-07-19 10:00:00
407b04,KLM62X  ,United Kingdom,1721483210,1721483210,-1.6768,55.0432,,True,4.89,64.69,,,,2201,False,0,2024-07-19 10:00:00
aa944a,AAL138  ,United States,1721483211,1721483212,-6.6543,53.7614,11887.2,False,256.26,107.53,0.0,,12153.9,5161,False,0,2024-07-19 10:00:00
873312,ANA231  ,Japan,1721483211,1721483211,-0.6092,58.946,12496.8,False,240.69,150.7,0.0,,12839.7,,False,0,2024-07-19 10:00:00
4bc854,PGT3CH  ,Turkey,1721483203,1721483204,-2.2864,53.3696,,True,0.0,132.19,,,,,False,0,2024-07-19 10:00:00
ac1076,AAL151  ,United States,1721483211,1721483212,-2.5867,54.6931,11277.6,False,272.81,326.07,0.0,,11582.4,0664,False,0,2024-07-19 10:00:00
4068cb,EXS6A   ,United Kingdom,1721483211,1721483211,-2.8866,52.5645,10073.64,False,208.17,176.74,0.0,,10363.2,6364,False,0,2024-07-19 10:00:00
505d78,EXS18G  ,Slovakia,1721483104,1721483104,-0.5523,51.9281,5829.3,False,207.18,326.03,-11.05,,6103.62,0622,False,0,2024-07-19 10:00:00
405635,EZY91VJ ,United Kingdom,1721483211,1721483211,-5.5082,54.4983,3634.74,False,168.78,148.59,13.66,,3672.84,6343,False,0,2024-07-19 10:00:00
505d58,EXS42KH ,Slovakia,1721483211,1721483211,-1.8191,52.5174,541.02,False,73.48,146.42,-4.23,,563.88,3511,False,0,2024-07-19 10:00:00
45caba,EIN67G  ,Denmark,1721483211,1721483211,-4.6608,53.7378,6073.14,False,158.21,273.36,-7.48,,6233.16,0621,False,0,2024-07-19 10:00:00
440195,EJU15XR ,Austria,1721483160,1721483168,-2.7155,51.3855,,True,0.0,357.19,,,,1045,False,0,2024-07-19 10:00:00
45caa8,EIN43R  ,Denmark,1721483211,1721483211,-4.0726,52.3549,8976.36,False,231.78,292.58,-4.55,,9265.92,7511,False,0,2024-07-19 10:00:00
440141,EJU16RU ,Austria,1721483211,1721483211,-3.6735,50.4534,7147.56,False,221.96,6.12,-10.4,,7391.4,7456,False,0,2024-07-19 10:00:00
45cab6,DTR6071 ,Denmark,1721483211,1721483211,1.0984,51.5133,2278.38,False,122.46,260.81,-2.6,,2331.72,1133,False,0,2024-07-19 10:00:00
4056b3,,United Kingdom,1721483019,1721483019,-0.5803,52.4566,342.9,False,19.79,261.03,-0.65,,358.14,,False,0,2024-07-19 10:00:00
405761,GDERH   ,United Kingdom,1721483210,1721483210,-1.166,53.7274,678.18,False,28.46,96.23,-0.33,,685.8,5222,False,0,2024-07-19 10:00:00
8004dc,AIC112  ,India,1721483211,1721483211,0.8823,52.0312,7543.8,False,240.28,80.76,10.4,,7810.5,1447,False,0,2024-07-19 10:00:00
abac50,DAL87   ,United States,1721483211,1721483211,-3.1794,56.6047,10363.2,False,259.92,306.14,0.0,,10645.14,2571,False,0,2024-07-19 10:00:00
345643,VLG6307 ,Spain,1721483211,1721483211,-0.0452,50.9328,2743.2,False,140.64,352.43,0.0,,2842.26,7451,False,0,2024-07-19 10:00:00
3c4a01,DLH478  ,Germany,1721483211,1721483211,1.5955,54.2091,10965.18,False,257.18,310.7,0.0,,11353.8,7755,False,0,2024-07-19 10:00:00
